"Country (or dependent territory)","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989"
"Afghanistan","","","","","","","","","",""
"Albania","5,547","6,410","7,005","7,362","7,776","7,904","8,515","8,662","8,840","10,084"
"Algeria","86,629","97,559","110,243","120,783","132,073","143,933","146,541","149,229","151,518","164,966"
"Angola","14,949","15,626","16,595","17,975","19,729","21,073","22,122","23,613","25,937","26,957"
"Antigua and Barbuda","267","303","322","352","402","446","508","555","605","661"
"Argentina","176,595","181,994","187,200","201,854","213,199","204,727","223,778","235,293","238,765","230,669"
"Armenia","","","","","","","","","",""
"Australia","154,525","175,927","186,959","193,419","212,994","231,803","242,266","260,605","281,200","305,625"
"Austria","84,466","92,261","99,855","106,708","110,861","116,975","122,127","127,349","133,073","143,621"
"Azerbaijan","","","","","","","","","",""
"Bahamas","1,967","2,089","2,358","2,618","2,776","2,982","3,121","3,319","3,513","3,733"
"Bahrain","6,199","6,967","7,873","8,756","9,446","9,658","9,900","10,029","10,998","11,541"
"Bangladesh","42,099","47,445","52,005","56,549","61,002","65,312","69,284","73,135","77,502","83,977"
"Barbados","1,355","1,453","1,467","1,533","1,645","1,716","1,840","1,936","2,074","2,232"
"Belarus","","","","","","","","","",""
"Belgium","106,819","116,467","124,429","129,744","137,662","144,414","150,011","157,388","170,592","183,374"
"Belize","205","225","221","243","280","285","312","391","448","538"
"Benin","2,694","3,002","3,242","3,303","3,434","3,697","3,875","3,891","4,166","4,204"
"Bhutan","196","243","279","311","347","374","412","508","605","667"
"Bolivia","10,787","11,829","12,069","12,038","12,440","12,623","12,546","13,183","14,042","15,141"
"Bosnia and Herzegovina","","","","","","","","","",""
"Botswana","1,789","2,115","2,603","2,998","3,307","3,675","4,072","4,798","6,129","6,665"
"Brazil","570,249","596,062","636,815","639,447","697,282","776,449","851,863","905,061","939,219","1,006,965"
"Brunei","","","","","","12,100","12,001","12,346","12,732","13,519"
"Bulgaria","39,489","45,464","50,313","53,868","58,346","61,297","65,847","70,701","74,933","77,457"
"Burkina Faso","2,375","2,666","2,871","2,948","3,102","3,563","3,924","4,015","4,396","4,665"
"Burundi","1,388","1,703","1,789","1,929","2,000","2,308","2,431","2,630","2,859","3,010"
"Cape Verde","231","274","299","340","366","410","430","460","505","554"
"Cambodia","","","","","","","","4,304","4,883","5,242"
"Cameroon","10,371","13,272","15,162","16,839","18,739","20,906","22,776","22,854","21,794","22,241"
"Canada","287,254","325,078","334,192","356,411","390,928","422,537","440,375","470,115","508,124","540,150"
"Central African Republic","926","1,144","1,171","1,144","1,302","1,394","1,525","1,563","1,646","1,802"
"Chad","1,911","1,864","2,086","2,507","2,733","3,043","3,290","3,497","3,892","4,122"
"Chile","38,345","44,530","40,867","41,290","45,272","47,640","51,320","56,094","62,288","71,573"
"China","305,945","351,572","406,990","468,745","559,159","654,954","727,625","833,501","960,161","1,039,392"
"Colombia","78,857","88,184","94,543","99,822","106,828","113,672","122,718","132,607","142,827","153,447"
"Comoros","246","284","313","336","362","381","397","414","440","442"
