"country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"Afghanistan","","","18768","20806","21522","24842","26978","31390","33242","40390"
"Albania","12857","14241","15116","16269","17639","19212","20971","22818","25010","26045"
"Algeria","251580","265033","284171","310706","332978","363968","381471","404831","422514","432672"
"Angola","37442","39906","46056","49439","56326","68755","85562","107684","124967","128954"
"Antigua and Barbuda","1305","1247","1271","1374","1463","1623","1875","2055","2128","1914"
"Argentina","437650","427890","387126","429738","481426","540900","602385","674119","715230","678009"
"Armenia","7002","7840","9139","10630","12067","14213","16583","19365","21117","18266"
"Australia","551281","577788","610364","640968","685398","729843","772656","828699","867008","888797"
"Austria","246866","255902","264133","271437","286447","301992","321702","342223","354335","343462"
"Azerbaijan","29683","32329","35496","39997","45289","59087","81914","105117","118754","130784"
"Bahamas","6103","6406","6680","6727","6973","7442","7864","8190","8156","7875"
"Bahrain","23675","24818","26043","28235","31036","34203","37534","41729","45203","46704"
"Bangladesh","180210","193226","205698","221918","241948","265471","292374","319719","343971","365003"
"Barbados","3089","3084","3156","3289","3427","3678","4005","4185","4284","4142"
"Belarus","59898","64153","68429","74690","85520","96611","109542","122174","137319","138594"
"Belgium","300156","309488","319835","328738","350056","368885","389723","413687","424953","418396"
"Belize","1363","1464","1563","1742","1874","1984","2138","2220","2336","2373"
"Benin","9069","9771","10381","10953","11752","12339","13219","14383","15384","15861"
"Bhutan","1505","1647","1832","2039","2236","2459","2711","3133","3538","3769"
"Bolivia","29166","30333","31564","33066","35393","38147","41205","44233","47873","49856"
"Bosnia and Herzegovina","19440","20352","21709","22996","25107","27012","29427","32016","34470","34449"
"Botswana","13907","14259","15357","16388","17294","18664","20847","23173","25103","23358"
"Brazil","1579824","1638286","1714227","1768357","1921642","2046980","2193469","2388520","2559440","2575631"
"Brunei","21686","22789","24035","25226","26050","26993","29050","29858","29842","29521"
"Bulgaria","60747","64474","69351","74381","81344","89942","99079","109186","118032","114663"
"Burkina Faso","9894","10789","11431","12570","13494","15135","16575","17715","19110","19826"
"Burundi","3501","3640","3783","3954","4216","4542","4935","5241","5603","5861"
"Cape Verde","1367","1484","1586","1739","1875","2048","2303","2582","2808","2793"
"Cambodia","13254","14660","15865","17557","19906","23268","26567","30059","32700","33644"
"Cameroon","30348","32441","34260","36351","38734","40898","43513","46126","48387","49697"
"Canada","910945","948204","991740","1029745","1090714","1161847","1228964","1287691","1326085","1296744"
"Central African Republic","2687","2759","2809","2669","2815","2977","3215","3453","3593","3682"
"Chad","7121","8133","8959","10483","14393","16091","16693","17697","18597","19514"
"Chile","173096","182906","191475","203310","223901","244387","267871","288570","304542","302085"
"China","3698622","4096897","4538333","5091708","5760129","6617286","7686835","9011953","10070854","11080887"
"Colombia","266073","276703","287986","305238","330357","357035","392653","430917","454954","465980"
"Comoros","659","697","737","770","789","849","886","914","941","966"
"Democratic Republic of the Congo","20342","20369","21291","22927","25145","27546","29903","32619","35331","36616"
"Republic of the Congo","11716","12439","13209","13582","14440","16061","17587","17769","19127","20784"
"Costa Rica","30735","32533","34120","36281","38896","41701","46093","51185","54615","54496"
"Ivory Coast","39351","40296","40233","40477","42102","44205","46254","48323","50524","52562"
"Croatia","54517","57675","61633","66356","70964","76297","82405","88954","92562","86378"
"Cyprus","17185","18210","19118","19982","21470","22986","24761","26645","28217","27928"
"Czech Republic","170247","179441","185196","195692","211022","231843","255400","276693","289769","277833"
"Denmark","173997","179426","183032","187407","197698","208836","223674","231709","235048","225215"
"Djibouti","1222","1272","1333","1403","1482","1577","1704","1837","1982","2029"
"Dominica","454","464","458","497","526","547","590","644","703","700"
"Dominican Republic","54208","56437","60615","61665","64187","72369","82544","91921","96732","98389"
"Ecuador","73948","78671","83151","87118","96864","105271","113283","118845","128879","130594"
"Egypt","427230","452366","473942","498829","533521","575311","633572","696532","761019","802635"
"El Salvador","29597","30789","31993","33382","34934","37343","39996","42637","44028","42972"
"Equatorial Guinea","6202","10550","12821","14890","21058","23529","23484","27794","33383","34089"
"Eritrea","5285","4738","5232","5496","5497","5757","5876","6118","5628","5891"
"Estonia","16943","18425","19845","21742","23746","26807","30469","33704","32502","27927"
"Ethiopia","32835","36075","37227","37172","42675","49617","57043","65468","74220","82293"
"Fiji","4388","4573","4792","4926","5335","5435","5708","5808","5981","5942"
"Finland","141715","148686","153506","159689","170522","180902","194021","209512","215161","198869"
"France","1678332","1750132","1796875","1847723","1951435","2046601","2159587","2269408","2318445","2267340"
"Gabon","17350","18127","18440","19127","19873","20351","20576","22462","23299","22941"
"Gambia","1514","1637","1608","1753","1928","1972","2055","2186","2357","2528"
"Georgia","11386","12194","13072","14822","16112","18225","20555","23757","24808","24084"
"Germany","2430427","2531381","2570864","2603335","2693592","2804578","3002740","3186681","3275699","3116816"
"Ghana","33887","36108","38330","41146","44636","48775","53416","57222","63682","67274"
"Greece","218879","233117","245980","265423","286524","297513","323988","343498","349062","336587"
"Grenada","777","779","818","913","933","1090","1079","1175","1210","1138"
"Guatemala","56024","58676","61881","64712","68587","73102","79402","86653","91252","92429"
"Guinea","7960","8448","8935","9223","9698","10310","10892","11379","12175","12233"
"Guinea-Bissau","1352","1411","1414","1448","1529","1645","1735","1839","1936","2016"
"Guyana","2727","2852","2930","2969","3098","3135","3398","3733","3881","4040"
"Haiti","11787","11929","12082","12368","12260","12883","13578","14405","14812","15384"
"Honduras","17213","18085","19052","20315","22175","24273","26662","29065","30889","30367"
"Hong Kong","179706","184832","190778","200530","223970","248256","273879","299344","311710","306354"
"Hungary","145236","154153","163567","173215","186886","201354","215543","222270","228646","215261"
"Iceland","7690","8167","8319","8692","9654","10633","11507","12918","13372","12538"
"India","2077843","2230276","2353000","2590566","2870729","3238203","3646913","4110915","4354646","4759787"
"Indonesia","958481","1016043","1078059","1152118","1243356","1356414","1475002","1610330","1764107","1861078"
"Iran","621359","650723","714091","791252","848268","912409","994090","1113577","1145909","1181337"
"Iraq","99089","94690","88647","164363","259042","271855","296008","309623","341673","355901"
"Ireland","123758","134253","143911","152196","167012","182372","199034","211987","206635","198611"
"Israel","130625","133727","135516","139764","150857","162176","176698","192673","202357","206732"
"Italy","1628105","1694720","1725014","1762073","1839170","1916369","2014889","2098991","2117685","2016793"
"Jamaica","16819","17422","17809","18830","19604","20416","21653","22551","22805","22194"
"Japan","3405450","3497211","3555093","3681394","3866026","4056757","4240788","4425653","4463125","4253411"
"Jordan","29264","31508","33843","35960","40111","44770","49881","55395","60566","64368"
"Kazakhstan","117291","136159","151798","169224","190569","215780","246209","275256","289917","295624"
"Kenya","53746","57158","58315","61232","65832","71799","78338","85932","87821","91414"
"Kiribati","121","122","129","134","135","147","149","156","156","158"
"South Korea","773396","826818","901907","946873","1020583","1094751","1186797","1284941","1347214","1367049"
"Kosovo","7615","8187","8254","8875","9359","10031","10691","11887","12664","13219"
"Kuwait","112874","115688","121005","144814","164810","187252","207521","225808","235947","220916"
"Kyrgyzstan","8117","8744","8877","9690","10656","10980","11668","13002","14260","14783"
"Laos","9661","10338","11217","12151","13362","14725","16490","18256","20063","21732"
"Latvia","21138","23017","25030","27681","30813","35207","40603","45831","45044","38881"
"Lebanon","33218","35300","37061","38443","41497","43988","46065","51737","57552","63962"
"Lesotho","2778","2934","3026","3212","3380","3597","3871","4173","4472","4710"
"Liberia","1802","1896","2008","1471","1570","1713","1911","2211","2389","2530"
"Libya","115767","116317","116970","134831","144719","167107","183438","200284","209657","204628"
"Lithuania","33659","36672","39753","44818","49067","54559","60401","68883","72080","61868"
"Luxembourg","28098","29357","30887","31943","34269","36510","39554","44016","44502","42428"
"Macau","","15074","16674","18989","24731","27585","32217","37853","39906","40740"
